ESTADO,BANCO_VENCEDOR,VALOR_FINAL,VALOR_PARCELA,QTD_PARCELA,CARENCIA,TAXA_CLIENTE,VALOR_TOTAL_PAGAR,SPREAD_EFETIVO
AC,Santander,23000.0,767.66,60.0,90.0,2.29,46059.6,0.0
BA,Sol Agora,14389.89,695.28,36.0,150.0,1.9,25030.079999999998,0.0
SP,Sol Agora,12070.62,573.86,38.0,150.0,1.9,21806.68,0.0
MT,Sol Agora,10349.97,521.78,36.0,150.0,1.9,18784.079999999998,0.0
MT,Sol Agora,24677.49,836.48,36.0,150.0,1.9,30113.28,0.0
BA,Sol Agora,9406.25,481.25,36.0,150.0,1.9,17325.0,0.0
MT,Sol Agora,10997.02,454.93,48.0,150.0,1.9,21836.64,0.0
CE,Sol Agora,16125.0,769.8,36.0,150.0,1.9,27712.8,0.0
MT,BV,13970.0,503.96,48.0,90.0,1.72,24190.079999999998,-0.17999999999999994
CE,Sol Agora,9100.0,468.09,36.0,150.0,1.9,16851.239999999998,0.0
BA,Sol Agora,22207.47,917.67,48.0,150.0,2.2,44048.159999999996,0.0
RS,Sol Agora,27173.67,1400.8,36.0,150.0,2.5,50428.799999999996,0.0
MG,Sol Agora,10349.97,521.78,36.0,150.0,1.9,18784.079999999998,0.0
RO,Sol Agora,17538.19,830.5,36.0,150.0,1.9,29898.0,0.0
GO,Sol Agora,20905.47,931.51,48.0,150.0,2.5,44712.479999999996,0.0
BA,Santander,10114.25,372.62,48.0,90.0,1.76,17885.760000000002,0.0
SP,Sol Agora,17567.08,831.74,36.0,150.0,1.9,29942.64,0.0
MT,Santander,40000.0,1387.77,60.0,90.0,2.28,83266.2,0.0
PR,Omni,9406.25,473.47,36.0,90.0,2.39,17044.920000000002,0.0
SP,Sol Agora,10349.97,521.44,36.0,150.0,1.9,18771.840000000004,0.0
MT,BV,15530.07,414.96,60.0,90.0,1.56,24897.6,0.0
MG,Sol Agora,14594.24,690.81,37.0,150.0,1.9,25559.969999999998,0.0
MT,Sol Agora,16679.14,656.94,48.0,150.0,1.9,31533.120000000003,0.0
MT,Santander,14237.37,557.99,60.0,90.0,2.29,33479.4,0.0
PR,Santander,51661.35,1722.05,30.0,90.0,1.9,51661.5,0.0
MT,Sol Agora,9286.84,466.99,36.0,120.0,1.9,16811.64,0.0
PR,Santander,51661.35,1722.05,30.0,90.0,1.9,51661.5,0.0
MT,Santander,14090.0,539.83,48.0,90.0,2.06,25911.840000000004,0.16000000000000014
PE,Sol Agora,9406.25,510.88,36.0,150.0,2.2,18391.68,0.0
MT,Sol Agora,13050.2,637.75,36.0,150.0,1.9,22959.0,0.0
RJ,Sol Agora,23733.5,941.55,60.0,150.0,2.5,56493.0,0.0
SC,Santander,11651.97,284.87,72.0,90.0,1.52,20510.64,0.0
SP,Santander,39900.0,1286.26,48.0,90.0,1.63,61740.479999999996,0.0
RS,Santander,33909.12,2825.76,12.0,60.0,1.9,33909.12,0.0
SP,Santander,9829.0,327.63,30.0,90.0,1.9,9828.9,0.0
